
instrument_token,exchange_token,tradingsymbol,name,last_price,tick_size,instrument_type,segment,exchange,strike,lot_size,expiry
256265,1000,RELIANCE,Reliance Industries Ltd.,2750.25,0.05,EQ,NSE,NSE,0,1,
60193,235,TCS,Tata Consultancy Services Ltd.,3640.80,0.05,EQ,NSE,NSE,0,1,
738561,2886,HDFCBANK,HDFC Bank Ltd.,1590.45,0.05,EQ,NSE,NSE,0,1,
895745,3499,INFY,Infosys Ltd.,1480.20,0.05,EQ,NSE,NSE,0,1,
2885377,11270,TATAMOTORS,Tata Motors Ltd.,850.15,0.05,EQ,NSE,NSE,0,1,
3861249,15083,ICICIBANK,ICICI Bank Ltd.,1080.70,0.05,EQ,NSE,NSE,0,1,
3001089,11724,ITC,ITC Ltd.,445.60,0.05,EQ,NSE,NSE,0,1,
2953217,11536,SBIN,State Bank of India,750.30,0.05,EQ,NSE,NSE,0,1,
2815745,11001,AXISBANK,Axis Bank Ltd.,1125.90,0.05,EQ,NSE,NSE,0,1,
779521,3045,KOTAKBANK,Kotak Mahindra Bank Ltd.,1950.65,0.05,EQ,NSE,NSE,0,1,
1207553,4716,LT,Larsen & Toubro Ltd.,3320.40,0.05,EQ,NSE,NSE,0,1,
81153,317,BAJFINANCE,Bajaj Finance Ltd.,6850.75,0.05,EQ,NSE,NSE,0,1,
325121,1270,ASIANPAINT,Asian Paints Ltd.,2980.25,0.05,EQ,NSE,NSE,0,1,
341249,1333,BHARTIARTL,Bharti Airtel Ltd.,1420.80,0.05,EQ,NSE,NSE,0,1,
2714625,10604,HINDUNILVR,Hindustan Unilever Ltd.,2510.95,0.05,EQ,NSE,NSE,0,1,
4267265,16669,MARUTI,Maruti Suzuki India Ltd.,10220.30,0.05,EQ,NSE,NSE,0,1,
4598529,17964,HCLTECH,HCL Technologies Ltd.,1320.45,0.05,EQ,NSE,NSE,0,1,
779521,3045,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,1240.80,0.05,EQ,NSE,NSE,0,1,
2952193,11532,WIPRO,Wipro Ltd.,480.25,0.05,EQ,NSE,NSE,0,1,
3834113,14977,NESTLEIND,Nestle India Ltd.,24580.60,0.05,EQ,NSE,NSE,0,1,
424961,1660,BAJAJFINSV,Bajaj Finserv Ltd.,1620.35,0.05,EQ,NSE,NSE,0,1,
134657,526,POWERGRID,Power Grid Corporation of India Ltd.,255.40,0.05,EQ,NSE,NSE,0,1,
5215745,20374,ADANIENT,Adani Enterprises Ltd.,2840.75,0.05,EQ,NSE,NSE,0,1,
2939649,11482,ULTRACEMCO,UltraTech Cement Ltd.,9850.20,0.05,EQ,NSE,NSE,0,1,
969473,3787,TITAN,Titan Company Ltd.,3340.90,0.05,EQ,NSE,NSE,0,1,
492033,1922,SBILIFE,SBI Life Insurance Company Ltd.,1460.65,0.05,EQ,NSE,NSE,0,1,
2830113,11055,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,1150.40,0.05,EQ,NSE,NSE,0,1,
2800641,10940,HDFCLIFE,HDFC Life Insurance Company Ltd.,685.25,0.05,EQ,NSE,NSE,0,1,
4268801,16676,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,5710.30,0.05,EQ,NSE,NSE,0,1,
3930881,15355,JSWSTEEL,JSW Steel Ltd.,850.75,0.05,EQ,NSE,NSE,0,1,
2707457,10576,COALINDIA,Coal India Ltd.,390.20,0.05,EQ,NSE,NSE,0,1,
